word,translation
apple,苹果
banana,香蕉
cherry,樱桃
plane,飞机
car,汽车
dog,狗
cat,猫
house,房子
tree,树
flower,花
book,书
pen,笔
computer,电脑
phone,电话
table,桌子
chair,椅子
door,门
window,窗户
sun,太阳
moon,月亮
star,星星
cloud,云
rain,雨
snow,雪
wind,风
fire,火
water,水
earth,地球
sky,天空
river,河
lake,湖
sea,海
mountain,山
hill,丘陵
bridge,桥
city,城市
country,国家
continent,大陆
ocean,海洋
island,岛
beach,海滩
forest,森林
desert,沙漠
valley,山谷
cave,洞穴
volcano,火山
glacier,冰川
riverbank,河岸
lighthouse,灯塔
park,公园
garden,花园
zoo,动物园
museum,博物馆
library,图书馆
school,学校
hospital,医院
airport,机场
station,车站
market,市场
store,商店
restaurant,餐厅
hotel,酒店
theater,剧院
stadium,体育场
gym,健身房
playground,游乐场
office,办公室
factory,工厂
farm,农场
road,路
street,街道
highway,高速公路
alley,小巷
intersection,交叉路口
traffic_light,交通灯
sign,标志
map,地图
compass,指南针
GPS,全球定位系统
weather,天气
temperature,温度
humidity,湿度
pressure,气压
forecast,预报
sunny,晴朗
cloudy,多云
stormy,暴风雨
foggy,雾
icy,结冰
hot,热
cold,冷
warm,温暖
cool,凉爽
wet,湿
dry,干燥
light,光
dark,黑暗
day,白天
night,夜晚
morning,早晨
afternoon,下午
evening,晚上
midnight,午夜
season,季节
spring,春天
summer,夏天
autumn,秋天
winter,冬天
holiday,假期
weekend,周末
Monday,星期一
Tuesday,星期二
Wednesday,星期三
Thursday,星期四
Friday,星期五
Saturday,星期六
Sunday,星期日
January,一月
February,二月
March,三月
April,四月
May,五月
June,六月
July,七月
August,八月
September,九月
October,十月
November,十一月
December,十二月
birthday,生日
anniversary,周年纪念
celebration,庆祝
party,聚会
gift,礼物
card,卡片
cake,蛋糕
candle,蜡烛
balloon,气球
music,音乐
song,歌曲
dance,舞蹈
art,艺术
painting,绘画
sculpture,雕塑
photography,摄影
film,电影
actor,演员
actress,女演员
director,导演
screenwriter,编剧
producer,制片人
cinematographer,摄影师
editor,剪辑师
sound_designer,声音设计师
visual_effects,视觉效果
costume_designer,服装设计师
set_designer,布景设计师
composer,作曲家
orchestra,管弦乐队
instrument,乐器
piano,钢琴
guitar,吉他
violin,小提琴
drum,鼓
flute,长笛
trumpet,小号
saxophone,萨克斯风
voice,声音
singing,唱歌
recording,录音
concert,音乐会
opera,歌剧
ballet,芭蕾舞
theater_performance,戏剧表演
stand_up_comedy,单口喜剧
circus,马戏团
magic_show,魔术表演
festival,节日
parade,游行
fireworks,烟花
fair,集市
carnival,狂欢节
concert_hall,音乐厅
opera_house,歌剧院
ballet_theater,芭蕾剧院
theater_venue,剧院
comedy_club,喜剧俱乐部
circus_tent,马戏帐篷
magic_arena,魔术表演场地
festival_grounds,节日场地
parade_route,游行路线
firework_display,烟花表演
fairgrounds,集市场地
carnival_grounds,狂欢场地
road,路
city,城市
country,国家
world,世界
friend,朋友
family,家庭
love,爱
happiness,幸福
sadness,悲伤
anger,愤怒
fear,恐惧
surprise,惊讶
hope,希望
dream,梦想
goal,目标
success,成功
failure,失败
work,工作
study,学习
play,玩
eat,吃
drink,喝
sleep,睡
wake,醒
walk,走
run,跑
jump,跳
swim,游泳
fly,飞
drive,驾驶
ride,骑
write,写
read,读
listen,听
speak,说
sing,唱
dance,跳舞
laugh,笑
cry,哭
smile,微笑
frown,皱眉
nod,点头
shake,摇头
animal,动物
bird,鸟
fish,鱼
insect,昆虫
reptile,爬行动物
amphibian,两栖动物
mammal,哺乳动物
elephant,大象
lion,狮子
tiger,老虎
bear,熊
wolf,狼
fox,狐狸
rabbit,兔子
deer,鹿
monkey,猴子
ape,猿
kangaroo,袋鼠
koala,考拉
panda,熊猫
giraffe,长颈鹿
zebra,斑马
camel,骆驼
horse,马
cow,牛
sheep,绵羊
goat,山羊
pig,猪
chicken,鸡
duck,鸭子
goose,鹅
turkey,火鸡
ostrich,鸵鸟
peacock,孔雀
parrot,鹦鹉
dolphin,海豚
whale,鲸鱼
shark,鲨鱼
turtle,海龟
crocodile,鳄鱼
snake,蛇
lizard,蜥蜴
frog,青蛙
toad,蟾蜍
salamander,蝾螈
newt,新螈
spider,蜘蛛
ant,蚂蚁
bee,蜜蜂
butterfly,蝴蝶
mosquito,蚊子
fly,苍蝇
beetle,甲虫
grasshopper,蚱蜢
cricket,蟋蟀
cicada,蝉
termite,白蚁
cockroach,蟑螂
dragonfly,蜻蜓
moth,蛾
worm,蠕虫
snail,蜗牛
octopus,章鱼
squid,鱿鱼
crab,螃蟹
lobster,龙虾
shrimp,虾
prawn,对虾
starfish,海星
sea_urchin,海胆
jellyfish,水母
coral,珊瑚
algae,藻类
fungus,真菌
bacteria,细菌
virus,病毒
plant,植物
flower,花
tree,树
grass,草
bush,灌木
vine,藤蔓
fern,蕨类
moss,苔藓
lichen,地衣
seed,种子
leaf,叶子
stem,茎
root,根
fruit,水果
vegetable,蔬菜
grain,谷物
bean,豆类
nut,坚果
herb,草药
spice,香料
medicine,药物
vitamin,维生素
mineral,矿物质
protein,蛋白质
carbohydrate,碳水化合物
fat,脂肪
fiber,纤维
sugar,糖
salt,盐
pepper,胡椒
garlic,大蒜
onion,洋葱
ginger,姜
cinnamon,肉桂
nutmeg,肉豆蔻
cloves,丁香
cardamom,豆蔻
turmeric,姜黄
cumin,孜然
coriander,香菜
parsley,欧芹
basil,罗勒
thyme,百里香
oregano,牛至
rosemary,迷迭香
sage,鼠尾草
marjoram,马郁兰
bay_leaf,月桂叶
mint,薄荷
chili,辣椒
jalapeno,哈拉佩诺
habanero,哈瓦那辣椒
cayenne,卡宴辣椒
bell_pepper,甜椒
paprika,匈牙利辣椒粉
mustard,芥末
horseradish,辣根
wasabi,山葵
soy_sauce,酱油
vinegar,醋
olive_oil,橄榄油
cooking_oil,食用油
butter,黄油
margarine,人造黄油
cheese,奶酪
yogurt,酸奶
milk,牛奶
cream,奶油
eggs,鸡蛋
bacon,培根
sausage,香肠
ham,火腿
steak,牛排
chicken_breast,鸡胸肉
pork_chop,猪排
lamb_chop,羊排
turkey_breast,火鸡肉
salmon,三文鱼
tuna,金枪鱼
shrimp,虾
crab_meat,蟹肉
lobster_tail,龙虾尾
oysters,牡蛎
clams,蛤蜊
mussels,贻贝
scallops,扇贝
squid_rings,鱿鱼圈
octopus_arms,章鱼足
sushi,寿司
sashimi,刺身
ramen,拉面
udon,乌冬面
pad_thai,泰式炒河粉
spring_rolls,春卷
dumplings,饺子
pancakes,煎饼
waffles,华夫饼
crepes,可丽饼
omelet,煎蛋卷
quiche,法式蛋派
frittata,意大利烘蛋
panini,帕尼尼
sandwich,三明治
hamburger,汉堡
hot_dog,热狗
taco,玉米卷
burrito,墨西哥卷饼
quesadilla,墨西哥烤饼
enchilada,墨西哥卷饼
fajita,墨西哥烤肉
tostada,墨西哥脆饼
empanada,馅饼
pierogi,波兰饺子
knish,克尼什
samosa,印度三角饺
spring_roll,春卷
pot_sticker,锅贴
dim_sum,点心
bun,包子
baozi,包子
mantou,馒头
mantou,馒头
steamed_bun,蒸包
dumpling,饺子
fried_dumpling,炸饺子
wonton,馄饨
spring_roll,春卷
pot_sticker,锅贴
pan_fried_bun,生煎包
baozi,包子
mantou,馒头
steamed_bun,蒸包
dumpling,饺子
fried_dumpling,炸饺子
wonton,馄饨
spring_roll,春卷
pot_sticker,锅贴
pan_fried_bun,生煎包
pizza,披萨
calzone,卡佐内
stuffed_crust_pizza,塞满边披萨
deep_dish_pizza,深盘披萨
thin_crust_pizza,薄底披萨
white_pizza,白披萨
sourdough_pizza,酸面团披萨
bbq_chicken_pizza,烧烤鸡肉披萨
margherita_pizza,玛格丽特披萨
pepperoni_pizza,意大利腊肠披萨
meat_lovers_pizza,肉类爱好者披萨
veggie_pizza,蔬菜披萨
four_cheese_pizza,四种奶酪披萨
buffalo_chicken_pizza,水牛城鸡肉披萨
spinach_and_feta_pizza,菠菜和羊乳酪披萨
hawaiian_pizza,夏威夷披萨
seafood_pizza,海鲜披萨
dessert_pizza,甜点披萨
spicy_pizza,辣味披萨
breakfast_pizza,早餐披萨
vegan_pizza,素食披萨
gluten_free_pizza,无麸质披萨
chocolate,巧克力
candy,糖果
cookie,饼干
cake,蛋糕
pie,派
ice_cream,冰淇淋
pudding,布丁
jelly,果冻
muffin,松饼
donut,甜甜圈
croissant,羊角面包
bagel,贝果
pretzel,椒盐卷饼
popcorn,爆米花
caramel,焦糖
marshmallow,棉花糖
gum,口香糖
licorice,甘草糖